Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance,Classification
"******4609",8/30/2024,,"Transfer To 8694",150.00,,Posted,,"Transfer"
"******4609",8/30/2024,,"Transfer To Cash App",525.00,,Posted,,"Transfer"
"******4609",8/30/2024,,"Transfer To Cash App",200.00,,Posted,,"Transfer"
"******4609",8/29/2024,,"Discover Credit Card",461.40,,Posted,,"Credit Card Payment"
"******4609",8/29/2024,,"Racetrac",50.00,,Posted,,"Gas"
"******4609",8/29/2024,,"O'Reilly Auto Parts",9.78,,Posted,,"Service &amp; Parts"
"******4609",8/29/2024,,"Return Py Scout Pest",,100.00,Posted,,"Income"
"******4609",8/28/2024,,"Best Buy Credit Card",100.00,,Posted,,"Credit Card Payment"
"******4609",8/28/2024,,"Ingles Markets",72.70,,Posted,,"Gas"
"******4609",8/28/2024,,"Ingles Markets",40.80,,Posted,,"Gas"
"******4609",8/28/2024,,"Club Corners Car",37.00,,Posted,,"Uncategorized"
"******4609",8/28/2024,,"Regular Deposit",,700.00,Posted,,"Rental Income"
"******4609",8/27/2024,,"RaceWay",32.26,,Posted,,"Gas"
"******4609",8/26/2024,,"The Home Depot Credit Card by Citi",1600.00,,Posted,,"Credit Card Payment"
"******4609",8/26/2024,,"AT&amp;T",121.78,,Posted,,"Bills &amp; Utilities"
"******4609",8/26/2024,,"Py Scout Pest",365.00,,Posted,,"Business Services"
"******4609",8/26/2024,,"Benchmark Manage",118.50,,Posted,,"Business Services"
"******4609",8/26/2024,,"Tom Thumb",50.00,,Posted,,"Groceries"
"******4609",8/26/2024,,"Regular Deposit",,5620.00,Posted,,"Rental Income"
"******4609",8/23/2024,,"A Day Fundrais",52.00,,Posted,,"Gifts &amp; Donations"
"******4609",8/23/2024,,"Transfer from Cash App",,902.00,Posted,,"Transfer"
"******4609",8/21/2024,,"Transfer To Cash App",300.00,,Posted,,"Business Services"
"******4609",8/21/2024,,"Transfer To Cash App",100.00,,Posted,,"Business Services"
"******4609",8/21/2024,,"White Spot Conve",63.63,,Posted,,"Gas"
"******4609",8/21/2024,,"Transfer To Cash App",20.00,,Posted,,"Transfer"
"******4609",8/21/2024,,"Transfer To Cash App",20.00,,Posted,,"Transfer"
"******4609",8/20/2024,,"Transfer To 8694",345.00,,Posted,,"Transfer"
"******4609",8/20/2024,,"Transfer To 4617",300.00,,Posted,,"Transfer"
"******4609",8/20/2024,,"Transfer To Cash App",180.00,,Posted,,"Transfer"
"******4609",8/19/2024,,"The Home Depot Credit Card by Citibank",1500.00,,Posted,,"Credit Card Payment"
"******4609",8/19/2024,,"The Home Depot",1500.00,,Posted,,"Home Improvement"
"******4609",8/19/2024,,"American Express Credit Card",500.00,,Posted,,"Credit Card Payment"
"******4609",8/19/2024,,"Citi Credit Card Payment",300.00,,Posted,,"Credit Card Payment"
"******4609",8/19/2024,,"Transfer To 9171",300.00,,Posted,,"Transfer"
"******4609",8/19/2024,,"Discover Credit Card",146.44,,Posted,,"Credit Card Payment"
"******4609",8/19/2024,,"Transfer to Venmo",112.50,,Posted,,"Transfer"
"******4609",8/19/2024,,"Ollie's Bargain Outlet",253.49,,Posted,,"Shopping"
"******4609",8/19/2024,,"Harbor Freight Tools",208.61,,Posted,,"Home Improvement"
"******4609",8/19/2024,,"Regular Deposit",,550.00,Posted,,"Rental Income"
"******4609",8/16/2024,,"Meta Pay",200.00,,Posted,,"Rental Income"
"******4609",8/16/2024,,"Racetrac",70.00,,Posted,,"Gas"
"******4609",8/16/2024,,"Ingles Markets",48.16,,Posted,,"Gas"
"******4609",8/16/2024,,"Racetrac",9.24,,Posted,,"Gas"
"******4609",8/16/2024,,"Meta Pay",,750.00,Posted,,"Rental Income"
"******4609",8/16/2024,,"Regular Deposit",,1650.00,Posted,,"Rental Income"
"******4609",8/15/2024,1055,"Check #1055",290.00,,Posted,,"Check"
"******4609",8/15/2024,,"Transfer to Venmo",120.00,,Posted,,"Transfer"
"******4609",8/14/2024,,"Racetrac",45.00,,Posted,,"Gas"
"******4609",8/14/2024,,"Recurr Payment Meta",20.91,,Posted,,"Transfer"
"******4609",8/13/2024,,"Transfer from Cash App",,1000.00,Posted,,"Transfer"
"******4609",8/12/2024,1053,"Check #1053",314.81,,Posted,,"Check"
"******4609",8/12/2024,898,"Check #898",250.00,,Posted,,"Check"
"******4609",8/12/2024,,"Whitecountywater Webpayment",32.00,,Posted,,"Kids"
"******4609",8/12/2024,,"Whitecountywater Elec Fee",1.95,,Posted,,"Fees &amp; Charges"
"******4609",8/12/2024,,"Toccoa Ha",3.20,,Posted,,"Food &amp; Dining"
"******4609",8/9/2024,1052,"Check #1052",63.10,,Posted,,"Check"
"******4609",8/9/2024,1051,"Check #1051",24.97,,Posted,,"Check"
"******4609",8/9/2024,,"Transfer To 4617",300.00,,Posted,,"Transfer"
"******4609",8/9/2024,,"Habitat for Humanity",16.13,,Posted,,"Gifts &amp; Donations"
"******4609",8/9/2024,,"Regular Deposit",,1000.00,Posted,,"Rental Income"
"******4609",8/8/2024,,"Waste Management",165.00,,Posted,,"Utilities"
"******4609",8/8/2024,,"Waste Management",26.85,,Posted,,"Utilities"
"******4609",8/8/2024,,"Georgia Power",17.80,,Posted,,"Utilities"
"******4609",8/8/2024,,"Racetrac",41.02,,Posted,,"Gas"
"******4609",8/7/2024,,"Windstream",109.27,,Posted,,"Utilities"
"******4609",8/7/2024,,"Club Corners Car",112.08,,Posted,,"Uncategorized"
"******4609",8/7/2024,,"Racetrac",49.54,,Posted,,"Gas"
"******4609",8/7/2024,,"Chick-fil-A",11.50,,Posted,,"Gift"
"******4609",8/7/2024,,"Meta Pay",,700.00,Posted,,"Rental Income"
"******4609",8/7/2024,,"Meta Pay",,400.00,Posted,,"Rental Income"
"******4609",8/7/2024,,"Regular Deposit",,550.00,Posted,,"Rental Income"
"******4609",8/6/2024,,"Georgia Power",204.54,,Posted,,"Utilities"
"******4609",8/6/2024,,"Transfer from Cash App",,950.00,Posted,,"Transfer"
"******4609",8/6/2024,,"Transfer from Cash App",,800.00,Posted,,"Transfer"
"******4609",8/5/2024,,"The Home Depot",1500.00,,Posted,,"Home Improvement"
"******4609",8/5/2024,,"Transfer To 8694",460.00,,Posted,,"Transfer"
"******4609",8/5/2024,,"Regular Deposit",,6350.00,Posted,,"Rental Income"
"******4609",8/5/2024,,"Regular Deposit",,900.00,Posted,,"Rental Income"
"******4609",8/2/2024,,"Shell",99.00,,Posted,,"Gas"
"******4609",8/1/2024,897,"Check #897",100.00,,Posted,,"Check"
"******4609",8/1/2024,,"Chevron",49.92,,Posted,,"Gas"
"******4609",7/31/2024,,"Habersham Emc Web",32.10,,Posted,,"Utilities"